n_component,accuracy
2,0.7045646661031276
3,0.8431952662721893
4,0.9015215553677092
5,0.9002535925612849
6,0.9568892645815723
7,0.9619611158072696
8,0.9628064243448858
9,0.9725274725274725
10,0.9729501267962807
