,precision,recall,f1-score,support
1,0.998,1.0,0.999,1012.0
2,1.0,1.0,1.0,400.0
3,1.0,1.0,1.0,358.0
4,1.0,0.996,0.998,246.0
5,0.996,0.991,0.994,233.0
6,1.0,1.0,1.0,117.0
accuracy,0.999,0.999,0.999,0.999
macro avg,0.999,0.998,0.998,2366.0
weighted avg,0.999,0.999,0.999,2366.0
