,precision,recall,f1-score,support
Cr3Si,1.0,1.0,1.0,400.0
Cu3Au,0.998,1.0,0.999,1012.0
Fe3C,1.0,0.996,0.998,246.0
Mg3Cd,0.996,0.991,0.994,233.0
PuNi3,1.0,1.0,1.0,358.0
TiAl3,1.0,1.0,1.0,117.0
accuracy,0.999,0.999,0.999,0.999
macro avg,0.999,0.998,0.998,2366.0
weighted avg,0.999,0.999,0.999,2366.0
