,precision,recall,f1-score,support
1,0.996,0.999,0.998,1012.0
2,1.0,0.998,0.999,400.0
3,1.0,1.0,1.0,358.0
4,1.0,1.0,1.0,246.0
5,0.996,0.983,0.989,233.0
6,0.992,1.0,0.996,117.0
accuracy,0.997,0.997,0.997,0.997
macro avg,0.997,0.997,0.997,2366.0
weighted avg,0.997,0.997,0.997,2366.0
