Mapping,Macro F1
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 2}",0.9677975124953361
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 2, 'TiAl3': 4}",0.9886453791202748
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 2}",0.981375931240131
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 4, 'TiAl3': 5}",0.9572461749625377
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 5, 'TiAl3': 4}",0.9406526942687679
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 2, 'TiAl3': 5}",0.9632617734752563
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 2}",0.9781950631072195
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 2, 'TiAl3': 4}",0.982249879545562
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 2}",0.9875186123754686
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 6}",0.90210709200571
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 5}",0.9030533014879376
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 6}",0.9332788179719368
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 3}",0.938813509634215
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 5}",0.966543960663901
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 3}",0.9575629801875033
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 5, 'TiAl3': 6}",0.9015299533889758
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 6, 'TiAl3': 5}",0.8985805955860862
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 2, 'TiAl3': 6}",0.9397545533410138
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 2}",0.9442048106020996
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 2, 'TiAl3': 5}",0.961161673449097
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 2}",0.9637764711539883
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 2, 'Mg3Cd': 3, 'TiAl3': 6}",0.9264487073349227
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 2, 'Mg3Cd': 6, 'TiAl3': 3}",0.9237327233704633
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 2, 'TiAl3': 6}",0.9487985662829376
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 2}",0.9460920436352588
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 2, 'TiAl3': 3}",0.9799252465230684
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 2}",0.9757129908029084
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 3, 'TiAl3': 5}",0.949536874538209
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 5, 'TiAl3': 3}",0.938367490621244
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 2, 'TiAl3': 5}",0.962393033427516
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 6, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 2}",0.9625986798530164
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 2, 'TiAl3': 3}",0.982223120705966
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 2}",0.9771661017014054
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 4, 'TiAl3': 6}",0.8501764992129915
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 4}",0.9032460566964969
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 2, 'Fe3C': 4, 'Mg3Cd': 3, 'TiAl3': 6}",0.8874495448177174
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 2, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 3}",0.9115523272017176
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 2, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 4}",0.9428510214323705
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 2, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 3}",0.9555721853054027
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 4, 'TiAl3': 6}",0.8476353698383535
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 6, 'TiAl3': 4}",0.9041729126519806
"{'Cu3Au': 1, 'Cr3Si': 5, 'PuNi3': 3, 'Fe3C': 4, 'Mg3Cd': 2, 'TiAl3': 6}",0.907319707304191
