Mapping,Accuracy
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 4, 'Mg3Cd': 6, 'TiAl3': 2}",0.9784446322907862
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 2, 'TiAl3': 4}",0.9907016060862215
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 5, 'Fe3C': 6, 'Mg3Cd': 4, 'TiAl3': 2}",0.989010989010989
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 4, 'TiAl3': 5}",0.9704142011834319
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 2, 'Mg3Cd': 5, 'TiAl3': 4}",0.967032967032967
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 2, 'TiAl3': 5}",0.978021978021978
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 4, 'Mg3Cd': 5, 'TiAl3': 2}",0.9856297548605241
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 2, 'TiAl3': 4}",0.9873203719357565
"{'Cu3Au': 1, 'Cr3Si': 3, 'PuNi3': 6, 'Fe3C': 5, 'Mg3Cd': 4, 'TiAl3': 2}",0.9919695688926459
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 5, 'TiAl3': 6}",0.9336432797971259
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 5}",0.9459002535925612
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 5, 'Mg3Cd': 3, 'TiAl3': 6}",0.9602704987320372
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 3}",0.9644970414201184
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 6, 'Mg3Cd': 3, 'TiAl3': 5}",0.9775993237531699
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 2, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 3}",0.974218089602705
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 5, 'TiAl3': 6}",0.9357565511411665
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 2, 'Mg3Cd': 6, 'TiAl3': 5}",0.9395604395604396
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 2, 'TiAl3': 6}",0.9636517328825022
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 5, 'Mg3Cd': 6, 'TiAl3': 2}",0.9615384615384616
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 2, 'TiAl3': 5}",0.9737954353338969
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 3, 'Fe3C': 6, 'Mg3Cd': 5, 'TiAl3': 2}",0.9759087066779375
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 2, 'Mg3Cd': 3, 'TiAl3': 6}",0.9509721048182587
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 2, 'Mg3Cd': 6, 'TiAl3': 3}",0.9556213017751479
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 2, 'TiAl3': 6}",0.9653423499577346
"{'Cu3Au': 1, 'Cr3Si': 4, 'PuNi3': 5, 'Fe3C': 3, 'Mg3Cd': 6, 'TiAl3': 2}",0.9644970414201184
