n_component,accuracy
2,0.606508875739645
3,0.8178360101437024
4,0.8727810650887574
5,0.9057480980557904
6,0.9344885883347421
7,0.9530853761622993
8,0.9581572273879966
9,0.9657650042265427
10,0.9674556213017751
